0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:13:12 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:16:09 +0900] "GET /StudyHTML/css1229/test3.html HTTP/1.1" 200 1633
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:16:09 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:16:29 +0900] "GET /StudyHTML/css1229/test3.html HTTP/1.1" 200 1636
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:16:29 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:18:16 +0900] "GET /StudyHTML/css1229/test3.html HTTP/1.1" 200 1744
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:18:16 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:30:55 +0900] "GET /StudyHTML/css1229/test3.html HTTP/1.1" 200 1763
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:33:26 +0900] "GET /StudyHTML/css1230/test4.html HTTP/1.1" 200 1763
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:34:53 +0900] "GET /StudyHTML/css1230/test4.html HTTP/1.1" 200 1799
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:34:53 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:35:21 +0900] "GET /StudyHTML/css1230/test4.html HTTP/1.1" 200 1824
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:35:21 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:38:05 +0900] "GET /StudyHTML/css1230/test4.html HTTP/1.1" 200 1899
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:38:05 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:38:07 +0900] "GET /StudyHTML/css1230/test4.html HTTP/1.1" 200 1899
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:38:07 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:38:07 +0900] "GET /StudyHTML/css1230/test4.html HTTP/1.1" 200 1899
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:38:07 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:38:07 +0900] "GET /StudyHTML/css1230/test4.html HTTP/1.1" 200 1899
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:38:07 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:38:07 +0900] "GET /StudyHTML/css1230/test4.html HTTP/1.1" 200 1899
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:38:07 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:38:10 +0900] "GET /StudyHTML/css1230/test4.html HTTP/1.1" 200 1899
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:38:10 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:38:10 +0900] "GET /StudyHTML/css1230/test4.html HTTP/1.1" 200 1899
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:38:10 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:38:10 +0900] "GET /StudyHTML/css1230/test4.html HTTP/1.1" 200 1899
