0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:24:56 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:25:58 +0900] "GET /StudyJSP/jsp04_session/sessionTest2.jsp HTTP/1.1" 200 642
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:26:00 +0900] "GET /StudyJSP/jsp04_session/sessionTest2_set.jsp HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:26:03 +0900] "GET /StudyJSP/jsp04_session/sessionTest2_get.jsp HTTP/1.1" 200 388
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:31:16 +0900] "GET /StudyJSP/jsp04_session/sessionTest2.jsp HTTP/1.1" 200 642
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:31:17 +0900] "GET /StudyJSP/jsp04_session/sessionTest2_remove.jsp HTTP/1.1" 200 677
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:31:20 +0900] "GET /StudyJSP/jsp04_session/sessionTest2_remove1.jsp HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:31:22 +0900] "GET /StudyJSP/jsp04_session/sessionTest2_remove2.jsp HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:31:23 +0900] "GET /StudyJSP/jsp04_session/sessionTest2_invalidate.jsp HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:36:36 +0900] "GET /StudyJSP/jsp04_session/sessionTest2_get.jsp HTTP/1.1" 200 388
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:36:40 +0900] "GET /StudyJSP/jsp04_session/sessionTest2_get.jsp HTTP/1.1" 200 388
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:36:45 +0900] "GET /StudyJSP/jsp04_session/sessionTest2_set.jsp HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:36:50 +0900] "GET /StudyJSP/jsp04_session/sessionTest2_get.jsp HTTP/1.1" 200 388
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:37:05 +0900] "GET /StudyJSP/jsp04_session/sessionTest2.jsp HTTP/1.1" 200 642
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:37:05 +0900] "GET /StudyJSP/jsp04_session/sessionTest2.jsp HTTP/1.1" 200 642
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:37:06 +0900] "GET /StudyJSP/jsp04_session/sessionTest2_get.jsp HTTP/1.1" 200 388
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:37:11 +0900] "GET /StudyJSP/jsp04_session/sessionTest2_set.jsp HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:37:13 +0900] "GET /StudyJSP/jsp04_session/sessionTest2_get.jsp HTTP/1.1" 200 388
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:37:22 +0900] "GET /StudyJSP/jsp04_session/sessionTest2.jsp HTTP/1.1" 200 642
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:37:26 +0900] "GET /StudyJSP/jsp04_session/sessionTest2_remove.jsp HTTP/1.1" 200 677
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:37:37 +0900] "GET /StudyJSP/jsp04_session/sessionTest2_remove1.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:37:37 +0900] "GET /StudyJSP/jsp04_session/sessionTest2_get.jsp HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:41:15 +0900] "GET /StudyJSP/jsp04_session/sessionTest2_get.jsp HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:41:16 +0900] "GET /StudyJSP/jsp04_session/sessionTest2.jsp HTTP/1.1" 200 642
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:41:18 +0900] "GET /StudyJSP/jsp04_session/sessionTest2_remove.jsp HTTP/1.1" 200 677
